"rawname","cleanname"
"fBodyAccJerk-mean()-Y","mean.BodyAccelJerk.Yaxis.OverFreq"
"fBodyAccJerk-mean()-Z","mean.BodyAccelJerk.Zaxis.OverFreq"
"fBodyAccJerk-std()-X","stddev.BodyAccelJerk.Xaxis.OverFreq"
"fBodyAccJerk-std()-Y","stddev.BodyAccelJerk.Yaxis.OverFreq"
"fBodyAccJerk-std()-Z","stddev.BodyAccelJerk.Zaxis.OverFreq"
"fBodyAccJerk-meanFreq()-X","meanFreq.BodyAccelJerk.Xaxis.OverFreq"
"fBodyAccJerk-meanFreq()-Y","meanFreq.BodyAccelJerk.Yaxis.OverFreq"
"fBodyAccJerk-meanFreq()-Z","meanFreq.BodyAccelJerk.Zaxis.OverFreq"
"fBodyGyro-mean()-X","mean.BodyGyro.Xaxis.OverFreq"
"fBodyGyro-mean()-Y","mean.BodyGyro.Yaxis.OverFreq"
"fBodyGyro-mean()-Z","mean.BodyGyro.Zaxis.OverFreq"
"fBodyGyro-std()-X","stddev.BodyGyro.Xaxis.OverFreq"
"fBodyGyro-std()-Y","stddev.BodyGyro.Yaxis.OverFreq"
"fBodyGyro-std()-Z","stddev.BodyGyro.Zaxis.OverFreq"
"fBodyGyro-meanFreq()-X","meanFreq.BodyGyro.Xaxis.OverFreq"
"fBodyGyro-meanFreq()-Y","meanFreq.BodyGyro.Yaxis.OverFreq"
"fBodyGyro-meanFreq()-Z","meanFreq.BodyGyro.Zaxis.OverFreq"
"fBodyAccMag-mean()","mean.BodyAccel.Magnitude.OverFreq"
"fBodyAccMag-std()","stddev.BodyAccel.Magnitude.OverFreq"
"fBodyAccMag-meanFreq()","meanFreq.BodyAccel.Magnitude.OverFreq"
"fBodyBodyAccJerkMag-mean()","mean.BodyAccelJerk.Magnitude.OverFreq"
"fBodyBodyAccJerkMag-std()","stddev.BodyAccelJerk.Magnitude.OverFreq"
"fBodyBodyAccJerkMag-meanFreq()","meanFreq.BodyAccelJerk.Magnitude.OverFreq"
"fBodyBodyGyroMag-mean()","mean.BodyGyro.Magnitude.OverFreq"
"fBodyBodyGyroMag-std()","stddev.BodyGyro.Magnitude.OverFreq"
"fBodyBodyGyroMag-meanFreq()","meanFreq.BodyGyro.Magnitude.OverFreq"
"fBodyBodyGyroJerkMag-mean()","mean.BodyGyroJerk.Magnitude.OverFreq"
"fBodyBodyGyroJerkMag-std()","stddev.BodyGyroJerk.Magnitude.OverFreq"
"fBodyBodyGyroJerkMag-meanFreq()","meanFreq.BodyGyroJerk.Magnitude.OverFreq"
